tool_name,scenario_id,mapping,change_type,execution_status,status_detail,expected_file_count,actual_file_count,missing_files,extra_files,expected_line_count,actual_line_count,true_positives,false_positives,false_negatives,precision,recall,f1_score,sequence_agreement,exact_oracle_match,syntactic_valid,syntax_validator,syntax_detail,compiles,scenario_tests_pass,complete_textual_resolution
IntelliMerge,scenario_12,1:N,behavioral,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
IntelliMerge,scenario_13,1:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
IntelliMerge,scenario_14,1:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
IntelliMerge,scenario_15,1:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
IntelliMerge,scenario_16,1:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
IntelliMerge,scenario_17,1:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
IntelliMerge,scenario_18,1:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
IntelliMerge,scenario_19,1:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
IntelliMerge,scenario_20,1:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
IntelliMerge,scenario_21,1:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
IntelliMerge,scenario_22,1:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
IntelliMerge,scenario_23,1:N,behavioral,completed_conflicted,conflict markers remain,5,1,EmailStrategy.java;NotificationStrategy.java;PushStrategy.java;SmsStrategy.java,,55,43,21,22,34,0.4883720930232558,0.38181818181818183,0.42857142857142855,0.23636363636363636,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"parser diagnostics: compiler.err.expected, compiler.err.illegal.start",,,False
IntelliMerge,scenario_24,N:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
IntelliMerge,scenario_25,N:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
IntelliMerge,scenario_26,N:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
IntelliMerge,scenario_27,N:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
IntelliMerge,scenario_28,N:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
IntelliMerge,scenario_29,N:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
IntelliMerge,scenario_30,N:N,structural,completed_clean,process completed with a readable output tree,2,1,Contact.java,,53,25,13,12,40,0.52,0.24528301886792453,0.3333333333333333,0.24528301886792453,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,parser diagnostics: compiler.err.class.public.should.be.in.file,,,False
IntelliMerge,scenario_31,N:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
IntelliMerge,scenario_32,N:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
IntelliMerge,scenario_33,N:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
IntelliMerge,scenario_34,1:1,behavioral,completed_conflicted,conflict markers remain,1,1,,,19,19,12,7,7,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"parser diagnostics: compiler.err.expected, compiler.err.illegal.start",,,False
IntelliMerge,scenario_35,1:1,behavioral,completed_conflicted,conflict markers remain,1,1,,,11,16,11,5,0,0.6875,1.0,0.8148148148148148,0.6875,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"parser diagnostics: compiler.err.expected, compiler.err.illegal.start, compiler.err.premature.eof",,,False
IntelliMerge,scenario_36,N:N,behavioral,completed_conflicted,conflict markers remain,2,1,DatabaseConnectionFactory.java,,61,36,29,7,32,0.8055555555555556,0.47540983606557374,0.5979381443298968,0.4262295081967213,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"parser diagnostics: compiler.err.expected, compiler.err.illegal.start",,,False
IntelliMerge,scenario_37,1:N,behavioral,completed_conflicted,conflict markers remain,1,1,,,20,30,15,15,5,0.5,0.75,0.6,0.4666666666666667,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"parser diagnostics: compiler.err.expected, compiler.err.illegal.start",,,False
IntelliMerge,scenario_38,N:N,behavioral,completed_conflicted,conflict markers remain,1,1,,,174,165,109,56,65,0.6606060606060606,0.6264367816091954,0.6430678466076697,0.5172413793103449,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"parser diagnostics: compiler.err.expected, compiler.err.illegal.start",,,False
IntelliMerge,scenario_39,N:N,behavioral,completed_conflicted,conflict markers remain,6,3,BillingManager.java;LoyaltyManager.java;SubscriptionManager.java,,441,328,247,81,194,0.7530487804878049,0.5600907029478458,0.6423927178153446,0.5260770975056689,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"parser diagnostics: compiler.err.expected, compiler.err.illegal.start, compiler.err.premature.eof",,,False
JDime,scenario_1,1:1,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
JDime,scenario_2,1:1,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
JDime,scenario_3,1:1,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
JDime,scenario_4,1:1,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
JDime,scenario_5,1:1,structural,completed_clean,process completed with a readable output tree,1,1,,,50,0,0,0,50,,0.0,,0.0,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
JDime,scenario_6,1:1,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
JDime,scenario_7,1:1,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
JDime,scenario_8,1:1,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
JDime,scenario_9,1:1,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
JDime,scenario_10,1:1,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
JDime,scenario_11,1:1,behavioral,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
JDime,scenario_12,1:N,behavioral,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
JDime,scenario_13,1:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
JDime,scenario_14,1:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
JDime,scenario_15,1:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
JDime,scenario_16,1:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
